bits,l,time setup,time encrypt,time keyder,time decrypt,time total
512,100,5614519.119262695,11391878.128051758,44584.27429199219,6975889.205932617,24026870.727539062
512,200,11217355.728149414,20538568.4967041,77009.20104980469,14720439.910888672,46553373.33679199
512,300,16493320.46508789,32190799.713134766,123739.24255371094,26640415.19165039,75448274.61242676
512,400,23612976.07421875,43031692.50488281,156402.587890625,39954423.904418945,106755495.07141113
512,500,28203725.814819336,53031206.130981445,201940.53649902344,52812099.45678711,134248971.9390869
512,750,41983366.01257324,79488515.85388184,286102.294921875,105119943.61877441,226877927.78015137
512,1000,61021566.39099121,107488393.78356934,379800.79650878906,173319816.58935547,342209577.5604248
512,1250,71903228.75976562,134338855.7434082,502586.36474609375,258405685.4248047,465150356.2927246
512,1500,86952924.72839355,161402702.33154297,582933.4259033203,361245393.75305176,610183954.2388916
512,1750,104445219.03991699,190821170.80688477,668287.2772216797,481287002.56347656,777221679.6875
512,2000,117123842.23937988,210174798.9654541,885486.6027832031,590124130.2490234,918308258.0566406
512,3000,171837568.28308105,342607975.0061035,1302242.2790527344,1338179588.317871,1853927373.8861084
512,4000,237925767.89855957,475538492.2027588,1682519.9127197266,2400089025.4974365,3115235805.5114746
512,5000,290790557.8613281,563019514.0838623,1906633.3770751953,3635199308.3953857,4490916013.717651
512,7500,469628095.62683105,814219474.7924805,2878904.342651367,7728523731.231689,9015250205.993652
512,10000,623087882.9956055,1144819021.2249756,4343986.511230469,13880229711.532593,15652480602.264404
512,12500,723320722.579956,1383818864.8223877,4867792.129516602,21401283025.741577,23513290405.273438
512,15000,916182756.4239502,1688823461.5325928,6206035.614013672,31219492435.455322,33830704689.02588
512,20000,1218997001.6479492,2376920461.654663,8035421.371459961,61874251842.49878,65478204727.17285
512,25000,1518150568.0084229,2832396984.100342,9937286.376953125,100966904401.77917,105327389240.2649
512,30000,1886185646.057129,3524253129.9591064,14034986.49597168,144061985015.86914,149486458778.38135
512,40000,2555343866.3482666,4607652902.603149,16310930.252075195,293265595436.0962,300444903135.2997
512,50000,3210394382.4768066,6086190223.693848,21327972.412109375,471354026794.4336,480671939373.01636
512,75000,4713751077.651978,9117530107.498169,35196781.158447266,1203663786172.8667,1217530264139.1753
512,100000,6217665910.720825,12247518301.010132,46767234.802246094,2238498947143.5547,2257010898590.088
