bits,l,time setup,time encrypt,time keygen,time decrypt,time total
512,100,14242649.07836914,13666868.209838867,188589.09606933594,8587121.963500977,36685228.34777832
512,200,28060436.248779297,27370452.880859375,389337.53967285156,19627571.10595703,75447797.77526855
512,300,41830778.12194824,41152477.2644043,542163.8488769531,34074783.32519531,117600202.5604248
512,400,60292482.37609863,59772253.03649902,771760.9405517578,51345825.1953125,172182321.5484619
512,500,71521043.77746582,67851305.00793457,922679.9011230469,73644399.64294434,213939428.32946777
512,750,100830078.125,102922677.99377441,1388788.2232666016,142548799.5147705,347690343.8568115
512,1000,138942718.50585938,136351108.5510254,1855850.2197265625,220989465.71350098,498139142.9901123
512,1250,189013719.55871582,175244808.19702148,2379655.8380126953,379486322.4029541,746124505.9967041
512,1500,212220430.3741455,213218927.38342285,2763271.3317871094,576356887.8173828,1004559516.9067383
512,1750,274195909.5001221,240533590.31677246,3214597.702026367,679984092.7124023,1197928190.2313232
512,2000,312963962.55493164,408821582.79418945,4123926.1627197266,1189449071.8841553,1915358543.395996
512,3000,571932792.6635742,545778274.5361328,7807731.628417969,3055034875.869751,4180553674.697876
512,4000,895342350.0061035,711261749.2675781,11306762.6953125,3316958665.8477783,4934869527.816772
512,5000,941108226.776123,837702989.5782471,10482788.0859375,5762109279.632568,7551403284.072876
512,7500,1249277830.1239014,1346739053.7261963,20987987.518310547,12401976108.551025,15018980979.919434
512,10000,1671838521.9573975,1436486244.2016602,21389961.24267578,20008699893.951416,23138414621.35315
512,12500,1804985761.642456,1781854391.0980225,23097038.26904297,27633261919.021606,31243199110.031128
512,15000,2221722364.425659,2662562608.718872,28632164.001464844,41742704629.89807,46655621767.04407
512,20000,2848525047.302246,2789859056.4727783,40382146.83532715,77562175273.89526,83240941524.50562
512,25000,3902800083.1604004,3790858030.319214,49175739.28833008,124248754024.50562,131991587877.27356
512,30000,4458301067.352295,4074292421.3409424,65330028.53393555,157880534410.47668,166478457927.70386
512,40000,5774184703.826904,5794546604.156494,80140829.08630371,320895537376.4038,332544409513.4735
512,50000,7405613422.393799,7235001087.188721,96029758.45336914,479029779195.7855,493766423463.8214
512,75000,10838332176.208496,10379066705.703735,140734195.70922852,1055642081022.2626,1077000214099.884
512,100000,14283960103.988647,13738029003.14331,186317443.84765625,3291171880483.6274,3319380187034.607
