k,m,n,x_max,y_max,F_max,time setup,time keygen,time encrypt,time decrypt,time total
3,3,2,3,2,2,261306.7626953125,416994.0948486328,80823.89831542969,113449335.0982666,114208459.85412598
4,4,3,3,2,2,385522.84240722656,433921.81396484375,54597.85461425781,209710121.15478516,210584163.66577148
5,5,4,3,2,2,2630472.183227539,1132726.6693115234,104665.75622558594,315428733.8256836,319296598.43444824
6,6,5,3,2,2,1384019.8516845703,952243.8049316406,109434.12780761719,261249780.65490723,263695478.43933105
7,7,6,3,2,2,694990.1580810547,582933.4259033203,134468.07861328125,356301546.09680176,357713937.7593994
8,8,7,3,2,2,864267.3492431641,1176357.2692871094,389575.9582519531,395026683.80737305,397456884.3841553
9,9,8,3,2,2,812053.6804199219,1093626.0223388672,347375.86975097656,681780099.8687744,684033155.4412842
10,10,9,3,2,2,1325845.718383789,1776933.6700439453,598430.6335449219,1125635623.9318848,1129336833.9538574
11,11,10,3,2,2,1125574.1119384766,1230955.1239013672,508069.9920654297,903959751.1291504,906824350.3570557
12,12,11,3,2,2,1174688.3392333984,1336574.5544433594,487327.57568359375,864692926.4068604,867691516.8762207
13,13,12,3,2,2,1202344.8944091797,1398324.966430664,538825.9887695312,1196620464.3249512,1199759960.1745605
14,14,13,3,2,2,1727342.6055908203,2017021.1791992188,791311.2640380859,1201193809.5092773,1205729484.5581055
15,15,14,3,2,2,1361846.923828125,1801013.9465332031,782012.939453125,1439506530.7617188,1443451404.5715332
16,16,15,3,2,2,1394271.8505859375,2040386.1999511719,864505.7678222656,1403194427.4902344,1407493591.3085938
17,17,16,3,2,2,1573801.040649414,2397060.3942871094,1017332.0770263672,1968702554.7027588,1973690748.2147217
18,18,17,3,2,2,1680850.9826660156,2818107.6049804688,1173257.827758789,1917159080.505371,1922831296.9207764
19,19,18,3,2,2,2063512.8021240234,3685474.395751953,1634359.359741211,1933907032.0129395,1941290378.5705566
20,20,19,3,2,2,2012968.0633544922,3779649.7344970703,1600027.084350586,2508194923.400879,2515587568.283081
21,21,20,3,2,2,2099752.426147461,4206657.409667969,1823425.29296875,2280165433.883667,2288295269.012451
22,22,21,3,2,2,2192020.4162597656,4608869.552612305,1986265.1824951172,2915586948.3947754,2924374103.5461426
23,23,22,3,2,2,2561330.795288086,5477905.2734375,2357959.747314453,3031566381.454468,3041963577.270508
24,24,23,3,2,2,2523660.659790039,6032705.307006836,2549886.703491211,3370631456.375122,3381737709.04541
25,25,24,3,2,2,2676963.8061523438,7143974.304199219,3054857.2540283203,3728301286.6973877,3741177082.0617676
26,26,25,3,2,2,3094911.575317383,8299112.319946289,3588914.8712158203,3753907442.0928955,3768890380.859375
27,27,26,3,2,2,2977848.0529785156,8415937.423706055,3419637.680053711,4668812990.188599,4683626413.345337
28,28,27,3,2,2,3007888.7939453125,9025573.73046875,4850864.410400391,4575926065.444946,4592810392.379761
29,29,28,3,2,2,3695249.557495117,10372877.12097168,4246711.730957031,5028919935.22644,5047234773.635864
30,30,29,3,2,2,3596544.2657470703,11380910.873413086,4650831.22253418,4951524972.915649,4971153259.277344
31,31,30,3,2,2,3421545.0286865234,17265796.661376953,5043745.040893555,5634130239.486694,5659861326.217651
32,32,31,3,2,2,4038095.474243164,14785766.6015625,5754232.406616211,6926384210.586548,6950962305.06897
33,33,32,3,2,2,5074024.200439453,17922163.009643555,7827758.7890625,6864452838.897705,6895276784.896851
34,34,33,3,2,2,4389762.878417969,16821622.848510742,7086515.426635742,7674181938.171387,7702479839.324951
35,35,34,3,2,2,4738569.259643555,19863128.662109375,8016586.3037109375,8359793901.443481,8392412185.668945
36,36,35,3,2,2,4824638.366699219,19864797.592163086,8204221.725463867,7246137142.1813965,7279030799.865723
37,37,36,3,2,2,5122661.590576172,24124145.5078125,8793830.871582031,7825664758.682251,7863705396.652222
38,38,37,3,2,2,4695177.07824707,21614551.544189453,9090662.002563477,9186197280.88379,9221597671.50879
39,39,38,3,2,2,5640983.581542969,24704933.166503906,10038614.273071289,8387468099.594116,8427852630.615234
40,40,39,3,2,2,6896018.981933594,29877424.240112305,11987209.32006836,10689340353.012085,10738101005.5542
41,41,40,3,2,2,5902528.762817383,28226852.416992188,13373374.938964844,9502787113.189697,9550289869.308472
